07:54:43.129 INFO  Logging in. 
07:54:44.773 INFO  Discord: Logged in. 
07:54:47.137 INFO  Logged in. 
07:54:47.352 INFO  Minecraft:                                       
07:54:47.359 INFO  Minecraft:                           
07:54:50.162 INFO  Minecraft:   ➤ You have reached your Hype limit! Add Hype to Prototype Lobby minigames by right-clicking with the Hype Diamond! 
07:54:52.152 INFO  Sending to skyblock. 
07:54:52.628 INFO  Minecraft: Sending to server mini1097G... 
07:54:53.480 INFO  Logged in. 
07:54:53.919 INFO  Minecraft:         
07:54:54.170 INFO  Minecraft: ----------------------------------------------------- 
07:54:54.171 INFO  Minecraft: You have just received 310,699 coins as interest in your co-op bank account! 
07:54:54.171 INFO  Minecraft: ----------------------------------------------------- 
07:54:56.557 INFO  Minecraft: You are playing on profile: Zucchini (Co-op) 
07:54:57.174 INFO  Minecraft:  
07:54:57.174 INFO  Minecraft: Welcome to Hypixel SkyBlock! 
07:54:57.446 INFO  Minecraft: You're already sitting on this island! 
07:54:57.553 INFO  Minecraft: ALLOWANCE! You earned 50,000 coins! 
07:54:58.484 INFO  Sending to skyblock. 
07:54:58.731 INFO  Minecraft: Cannot join SkyBlock for a moment! (Queue join in cooldown) 
07:55:03.802 INFO  Minecraft: You're already sitting on this island! 
07:55:30.163 INFO  Minecraft: ----------------------------------------------------- 
07:55:30.165 INFO  Minecraft: You requested to join Boreas! They have 5 minutes to accept! 
07:55:30.166 INFO  Minecraft: ----------------------------------------------------- 
07:55:32.510 INFO  Minecraft: ----------------------------------------------------- 
07:55:32.512 INFO  Minecraft: You joined Boreas! 
07:55:32.512 INFO  Minecraft: ----------------------------------------------------- 
07:55:34.601 INFO  Minecraft: Guild > [MVP+] spookedlul [ADMIN]: huh 
07:55:38.929 INFO  Minecraft: Guild > [VIP+] LawndaleLights [S]: hi 
07:55:42.571 INFO  Minecraft: Guild > [VIP+] breezie557 [S]: !seal 
07:55:42.835 INFO  Minecraft: Guild > SealBot [M]: Seal! 
07:55:43.105 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: HIHIH 
07:55:43.502 INFO  Minecraft: Guild > [VIP+] LawndaleLights [S]: welcom to boreas! 
07:55:44.951 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: epofopaskf 
07:55:46.503 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: !seal 
07:55:46.771 INFO  Minecraft: Guild > SealBot [M]: I like Seals. 
07:55:48.960 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: !ping 
07:55:50.694 INFO  Minecraft: Guild > SealBot [M]: My ping on Hypixel is: 240ms 
07:55:52.857 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: !playtime 
07:55:53.169 INFO  Minecraft: You have 2222 hours and 05 minutes playtime! 
07:55:53.451 INFO  Minecraft: Guild > SealBot [M]: You have 2222 hours and 05 minutes playtime! 
07:55:58.707 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: SEALBOT!! 
07:56:02.905 INFO  Minecraft: Guild > [VIP+] breezie557 [S]: !playtime 
07:56:03.214 INFO  Minecraft: You have 2222 hours and 05 minutes playtime! 
07:56:03.491 INFO  Minecraft: You cannot say the same message twice! 
07:56:09.400 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: weve missed u 
07:56:17.314 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: how much money did u gety 
07:56:40.467 INFO  Discord: [💬→︱guild-chat] Management | Bam: None 
07:56:44.210 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: what 
07:57:03.398 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: wait 
07:57:06.149 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: jungle full 
07:57:12.821 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: stop 
07:59:37.412 INFO  Minecraft: Guild > [VIP+] breezie557 [S]: ko 
07:59:41.103 INFO  Minecraft: Guild > [VIP+] breezie557 [S]: ok 
08:00:13.257 INFO  Minecraft:  
08:00:13.259 INFO  Minecraft: [WATCHDOG ANNOUNCEMENT] 
08:00:13.259 INFO  Minecraft: Watchdog has banned 25,542 players in the last 7 days. 
08:00:13.260 INFO  Minecraft: Staff have banned an additional 13,476 in the last 7 days. 
08:00:13.261 INFO  Minecraft: Blacklisted modifications are a bannable offense! 
08:00:13.261 INFO  Minecraft:  
08:00:23.760 INFO  Discord: [💬→︱guild-chat] Management | Bam: ? 
08:00:29.338 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: ? 
08:05:37.368 INFO  Minecraft: Guild > E3than left. 
08:06:02.583 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: GAME UPDATE 
08:06:18.232 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: gae update 
08:06:20.319 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: what is it 
08:06:57.745 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: uhh 
08:07:10.788 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: breezir 
08:07:19.663 INFO  Minecraft: Guild > Ratbeam left. 
08:07:21.383 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: breezie its netterack section not trash section 
08:07:21.668 INFO  Minecraft: Guild > Ratbeam joined. 
08:07:31.679 INFO  Minecraft: Guild > Ratbeam left. 
08:07:33.553 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: why do u put everything where it doesnt belong 
08:07:33.677 INFO  Minecraft: Guild > Ratbeam joined. 
08:07:57.542 INFO  Minecraft: Guild > [VIP+] LawndaleLights [S]: lol 
08:07:59.023 INFO  Minecraft: Guild > [VIP+] LawndaleLights [S]: wc 
08:08:08.137 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: yeah im not playing ironman with u 
08:08:09.910 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: ur so annoying 
08:09:48.544 INFO  Minecraft: Guild > Kophur left. 
08:10:50.577 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: anyone bridge 
08:11:09.583 INFO  Minecraft: Guild > Kophur joined. 
08:11:14.707 INFO  Minecraft: Guild > Etherweaver joined. 
08:11:37.717 INFO  Minecraft: Guild > Etherweaver left. 
08:12:37.924 INFO  Minecraft: Guild > AccidentalCactus joined. 
08:13:45.923 INFO  Minecraft: Guild > AccidentalCactus left. 
08:14:12.092 INFO  Minecraft: Guild > AccidentalCactus joined. 
08:14:51.030 INFO  Minecraft: Guild > E3than joined. 
08:15:19.443 INFO  Minecraft: Guild > AccidentalCactus left. 
08:15:28.012 INFO  Minecraft:   
08:15:28.014 INFO  Minecraft: [PLAYER INFORMATION] 
08:15:28.015 INFO  Minecraft: Found a rule breaker? Our report system can help! 
08:15:28.015 INFO  Minecraft: Type /report <name> and follow the prompts to report them. 
08:15:28.016 INFO  Minecraft:   
08:16:20.312 INFO  Minecraft: Guild > AccidentalCactus joined. 
08:16:32.039 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: anyone bridge 
08:16:36.095 INFO  Minecraft: Guild > [VIP+] LawndaleLights [S]: i suk 
08:16:37.133 INFO  Minecraft: Guild > [VIP+] LawndaleLights [S]: lol 
08:16:38.554 INFO  Minecraft: Guild > [VIP+] LawndaleLights [S]: how gud r u 
08:16:38.557 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: ok 
08:16:40.305 INFO  Minecraft: Guild > AccidentalCactus left. 
08:16:44.714 INFO  Minecraft: Guild > [VIP] reesespuffpizza [S]: then deul me im also bad 
08:16:57.508 INFO  Minecraft: Guild > Ubdul_Hman joined. 
08:17:06.575 INFO  Minecraft: Guild > [VIP+] LawndaleLights [S]: bad mapp 
08:17:32.419 INFO  Minecraft: Guild > AccidentalCactus joined. 
