04:51:24.512 INFO  Logging in. 
04:51:25.882 INFO  Discord: Logged in. 
04:51:27.184 INFO  Logged in. 
04:51:27.398 INFO  Minecraft:                                       
04:51:27.404 INFO  Minecraft:                           
04:51:27.752 INFO  Minecraft: ----------------------------------------------------- 
04:51:27.752 INFO  Minecraft: Requirements are Skill Avg 23, Cata 23, and 170m net, along 
04:51:27.753 INFO  Minecraft: with 85k gexp a week! Make sure to have fun and contact 
04:51:27.753 INFO  Minecraft: OwOSeal or Smol if you have something to report, or something else to say! 
04:51:27.754 INFO  Minecraft: ----------------------------------------------------- 
04:51:29.192 INFO  Sending to skyblock. 
04:51:29.562 INFO  Minecraft: Sending to server mini1047F... 
04:51:29.669 INFO  Logged in. 
04:51:30.159 INFO  Minecraft:         
04:51:31.491 INFO  Minecraft: You're already sitting on this island! 
04:51:31.671 INFO  Sending to skyblock. 
04:51:31.910 INFO  Minecraft: Please don't spam the command! 
04:51:33.684 INFO  Minecraft:  
04:51:33.685 INFO  Minecraft: Welcome to Hypixel SkyBlock! 
04:51:33.984 INFO  Minecraft: You're already sitting on this island! 
04:51:40.595 INFO  Minecraft: Guild > MangosteenConan joined. 
04:52:29.150 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: my mom says hi 
04:52:29.394 INFO  Minecraft: Guild > SealEaterV [LS]: Dev/Mod| BamBoozledMC» my mom says hi 
04:52:37.847 INFO  Discord: [💬→︱guild-chat] GM | lath: hi 
04:52:38.086 INFO  Minecraft: Guild > SealEaterV [LS]: GM| lath» hi 
04:53:00.739 INFO  Minecraft: Guild > VincentSenpai joined. 
04:53:07.676 INFO  Discord: [💬→︱guild-chat] GM | lath: I'm your mom bamboozled 
04:53:07.926 INFO  Minecraft: Guild > SealEaterV [LS]: GM| lath» I'm your mom bamboozled 
04:53:10.694 INFO  Discord: [💬→︱guild-chat] GM | lath: lmao 
04:53:11.371 INFO  Minecraft: Guild > SealEaterV [LS]: GM| lath» lmao 
04:53:12.859 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: fuck 
04:53:13.187 INFO  Minecraft: Guild > SealEaterV [LS]: Dev/Mod| BamBoozledMC» fuck 
04:53:14.132 INFO  Discord: [💬→︱guild-chat] GM | lath: <@!562382703190867972> 
04:53:14.375 INFO  Minecraft: Guild > SealEaterV [LS]: GM| lath» <@!562382703190867972> 
04:53:15.862 INFO  Discord: [💬→︱guild-chat] GM | lath: lmao 
04:53:16.104 INFO  Minecraft: You cannot say the same message twice! 
04:53:58.525 INFO  Minecraft: Guild > [MVP+] SnoobyDoo [F]: anyone wanna buy snow minions? 
04:53:59.742 INFO  Minecraft: Guild > WitheredRoyal joined. 
04:54:08.995 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: idk do i 
04:54:09.275 INFO  Minecraft: Guild > SealEaterV [LS]: Dev/Mod| BamBoozledMC» idk do i 
04:54:40.784 INFO  Discord: [💬→︱guild-chat] TH | SnowedSeal: Henlo 
04:54:41.042 INFO  Minecraft: Guild > SealEaterV [LS]: TH| SnowedSeal» Henlo 
04:54:51.599 INFO  Discord: [💬→︱guild-chat] TH | SnowedSeal: should i get the brave browser 
04:54:51.868 INFO  Minecraft: Guild > SealEaterV [LS]: TH| SnowedSeal» should i get the brave browser 
04:56:14.096 INFO  Minecraft: Guild > FloppySealOwO joined. 
04:56:35.468 INFO  Minecraft: Guild > FloppySealOwO left. 
04:58:35.661 INFO  Minecraft: Guild > FloppySealOwO joined. 
04:59:09.855 INFO  Minecraft: Guild > cast_05 left. 
04:59:15.742 INFO  Minecraft: Guild > cast_05 joined. 
04:59:35.815 INFO  Minecraft: Guild > oSnapItsWalter left. 
05:00:50.445 INFO  Minecraft: Guild > MangosteenConan left. 
05:01:02.550 INFO  Minecraft: Guild > JGoodwin1412 left. 
05:01:20.484 INFO  Minecraft: Guild > FearTheVillain3 left. 
05:01:47.978 INFO  Minecraft: Guild > [MVP] TimySeal [M]: everyone 
05:01:54.689 INFO  Minecraft: Guild > [VIP] rm_rm_throw [M]: ? 
05:01:58.160 INFO  Minecraft: Guild > [MVP] TimySeal [M]: sharkhunter66 
05:01:59.148 INFO  Minecraft: Guild > [VIP] epicsommthing [M]: huh 
05:01:59.661 INFO  Minecraft: Guild > [MVP] TimySeal [M]: ah 
05:02:03.301 INFO  Minecraft: Guild > [MVP] TimySeal [M]: is mega flip 
05:02:15.517 INFO  Minecraft: Guild > cast_05 left. 
05:02:17.776 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: he doesnt have any auctions 
05:02:21.691 INFO  Minecraft: Guild > cast_05 joined. 
05:02:25.126 INFO  Minecraft: Guild > [MVP] TimySeal [M]: he does tho 
05:02:26.986 INFO  Minecraft: Guild > [VIP] rm_rm_throw [M]: wait a got an ide 
05:02:31.078 INFO  Minecraft: Guild > [MVP] TimySeal [M]: look at necron leggings auctions 
05:02:39.105 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: i do /ah sharkhunter66 and he doesnt have any auctions 
05:04:29.936 INFO  Minecraft: Guild > [MVP] TimySeal [M]: fine look at necron leggings 
05:04:33.844 INFO  Minecraft: Guild > [MVP] TimySeal [M]: auction not bin 
05:04:52.650 INFO  Minecraft: Guild > [VIP+] WitheredRoyal [M]: Why whats going on with them? 
05:05:00.648 INFO  Minecraft: Guild > EasyParkour joined. 
05:05:21.730 INFO  Minecraft: Guild > JonLaw099 joined. 
05:05:55.757 INFO  Minecraft: Guild > [MVP+] Loudbook [US]: buy my ah 
05:06:02.900 INFO  Minecraft: Guild > [MVP] TimySeal [M]: good flip 
05:06:04.747 INFO  Minecraft: Guild > OwOWolfs joined. 
05:06:16.644 INFO  Minecraft: Guild > [MVP] TimySeal [M]: it went up 
05:06:19.124 INFO  Minecraft: Guild > [MVP] TimySeal [M]: holy fuck 
05:06:22.951 INFO  Minecraft: Guild > [MVP] TimySeal [M]: bidding war 
05:06:34.248 INFO  Minecraft: Guild > [MVP] TimySeal [M]: still good flip 
05:07:19.927 INFO  Minecraft: Guild > Loudbook left. 
05:07:23.668 INFO  Minecraft: Guild > OwOSealUwU left. 
05:07:27.094 INFO  Minecraft: Guild > OwOSealUwU joined. 
05:07:34.652 INFO  Minecraft: Guild > ASovietDoge left. 
05:07:37.185 INFO  Minecraft: Guild > OwOSealUwU left. 
05:08:10.186 INFO  Minecraft: You are being transferred to the HUB for being AFK! 
05:08:10.296 INFO  Minecraft: Sending to server mini100J... 
05:08:10.415 INFO  Logged in. 
05:08:10.683 INFO  Minecraft:         
05:08:12.427 INFO  Sending to skyblock. 
05:08:13.170 INFO  Minecraft: You are already playing SkyBlock! 
05:08:14.755 INFO  Minecraft: Warping you to your SkyBlock island... 
05:08:14.811 INFO  Minecraft: Sending to server mini1047F... 
05:08:14.924 INFO  Logged in. 
05:08:14.991 INFO  Minecraft:         
05:08:16.926 INFO  Sending to skyblock. 
05:08:17.165 INFO  Minecraft: Please don't spam the command! 
05:08:19.277 INFO  Minecraft: You're already sitting on this island! 
05:08:37.870 INFO  Minecraft: Guild > cast_05 left. 
05:09:35.781 INFO  Minecraft: Open the GAME SETTINGS to disable this notification! 
05:11:19.204 INFO  Minecraft: Guild > Loudbook joined. 
05:13:07.516 INFO  Minecraft: Guild > NinjaNerG joined. 
05:13:19.555 INFO  Minecraft: Guild > ASovietDoge joined. 
05:18:20.550 INFO  Minecraft: Guild > yKxshi left. 
05:19:12.418 INFO  Minecraft: Guild > yKxshi joined. 
05:19:20.408 INFO  Minecraft: Guild > Shqdoweww joined. 
05:22:00.228 INFO  Minecraft: Guild > [VIP] epicsommthing [M]: its the same chance every run 
05:22:03.708 INFO  Minecraft: Guild > [VIP] epicsommthing [M]: wc 
05:22:41.189 INFO  Minecraft: Guild > [VIP] rm_rm_throw [M]: shadow warp pog 
05:24:55.589 INFO  Minecraft: You are being transferred to the HUB for being AFK! 
05:24:55.726 INFO  Minecraft: Sending to server mini281S... 
05:24:55.784 INFO  Logged in. 
05:24:56.232 INFO  Minecraft:         
05:24:57.785 INFO  Sending to skyblock. 
05:25:03.055 INFO  Minecraft: You are already playing SkyBlock! 
05:25:04.176 INFO  Minecraft: Warping you to your SkyBlock island... 
05:25:04.192 INFO  Minecraft: Sending to server mini1047F... 
05:25:04.195 INFO  Logged in. 
05:25:04.264 INFO  Minecraft:         
05:25:06.195 INFO  Sending to skyblock. 
05:25:06.513 INFO  Minecraft: You are already playing SkyBlock! 
05:25:08.521 INFO  Minecraft: You're already sitting on this island! 
05:25:22.127 INFO  Minecraft: Guild > SnoobyDoo left. 
05:26:20.868 INFO  Minecraft: Guild > SnoobyDoo joined. 
05:28:53.077 INFO  Minecraft: Guild > i_will_bid_lbin joined. 
05:29:40.264 INFO  Minecraft: Guild > Shqdoweww left. 
05:29:44.775 INFO  Minecraft: Guild > [MVP+] EasyParkour [M]: anyone wanna run f7s 
05:31:33.731 INFO  Minecraft:  
05:31:33.733 INFO  Minecraft: ----------------------------------------------------- 
05:31:33.735 INFO  Minecraft:  
05:31:33.736 INFO  Minecraft:                  GUILD QUEST TIER 3 COMPLETED! 
05:31:33.737 INFO  Minecraft:  
05:31:33.738 INFO  Minecraft:     The guild has completed Tier 3 of this week's Guild Quest! 
05:31:33.738 INFO  Minecraft:                          +50000 Guild Experience 
05:31:33.739 INFO  Minecraft:  
05:31:33.740 INFO  Minecraft: ----------------------------------------------------- 
05:31:42.166 INFO  Minecraft: Guild > [MVP+] EasyParkour [M]: gg 
05:31:42.294 INFO  Minecraft: Guild > [MVP+] FloppySealOwO [US]: gg 
05:31:42.419 INFO  Minecraft: Guild > [VIP] epicsommthing [M]: gg 
05:31:44.066 INFO  Minecraft: Guild > [VIP+] WitheredRoyal [M]: gg 
05:32:07.303 INFO  Minecraft: Guild > i_will_bid_lbin left. 
05:32:50.127 INFO  Minecraft: Guild > [MVP+] EasyParkour [M]: bruh tf 
05:32:51.878 INFO  Minecraft: Guild > [MVP+] EasyParkour [M]: wc 
05:33:28.683 INFO  Minecraft: Guild > EasyParkour left. 
05:33:29.921 INFO  Minecraft: Guild > EasyParkour joined. 
05:33:49.793 INFO  Minecraft: Guild > ASovietDoge left. 
05:34:46.741 INFO  Minecraft: Guild > [MVP+] EasyParkour [M]: anyone wanna do f6s? 
05:35:51.973 INFO  Minecraft: Guild > NinjaNerG left. 
05:36:49.625 INFO  Minecraft: Guild > Loudbook left. 
05:36:51.639 INFO  Minecraft: Guild > Loudbook joined. 
05:40:13.601 INFO  Minecraft: Guild > yKxshi left. 
05:41:41.015 INFO  Minecraft: You are being transferred to the HUB for being AFK! 
05:41:41.075 INFO  Minecraft: Sending to server mini546E... 
